PDB_code,Source,Dataset
PDB_10gs,PDBBind,TRAIN
PDB_184l,PDBBind,VAL
PDB_185l,PDBBind,TRAIN
PDB_186l,PDBBind,TRAIN
PDB_187l,PDBBind,TRAIN
PDB_188l,PDBBind,TRAIN
PDB_1a0q,MOAD,TRAIN
PDB_1a28,Iridium,TRAIN
PDB_1a4k,PDBBind,TRAIN
PDB_1a4r,PDBBind,TRAIN
PDB_1a4w,PDBBind,TRAIN
PDB_1a69,PDBBind,TRAIN
PDB_1a99,PDBBind,TRAIN
PDB_1a9m,PDBBind,TEST
PDB_1a9q,PDBBind,TRAIN
PDB_1aaq,PDBBind,TRAIN
PDB_1add,PDBBind,TEST
PDB_1adl,PDBBind,TRAIN
PDB_1ado,PDBBind,TRAIN
PDB_1afk,PDBBind,TEST
PDB_1afl,PDBBind,TRAIN
PDB_1ag9,MOAD,TRAIN
PDB_1ai4,PDBBind,TRAIN
PDB_1ai5,Iridium,TRAIN
PDB_1ai7,PDBBind,TRAIN
PDB_1aid,PDBBind,TRAIN
PDB_1aj7,PDBBind,TRAIN
PDB_1ajn,PDBBind,TRAIN
PDB_1ajp,PDBBind,TRAIN
PDB_1ajq,PDBBind,TRAIN
PDB_1ajv,PDBBind,TRAIN
PDB_1ajx,PDBBind,TRAIN
PDB_1akv,MOAD,TRAIN
PDB_1al8,MOAD,TRAIN
PDB_1alw,PDBBind,TRAIN
PDB_1amk,PDBBind,TRAIN
PDB_1amw,PDBBind,TRAIN
PDB_1atl,PDBBind,TRAIN
PDB_1atr,PDBBind,TRAIN
PDB_1avn,PDBBind,TRAIN
PDB_1ax0,PDBBind,TRAIN
PDB_1azm,Iridium,TRAIN
PDB_1b55,PDBBind,TRAIN
PDB_1b57,PDBBind,TRAIN
PDB_1b6k,PDBBind,TEST
PDB_1b6l,PDBBind,TRAIN
PDB_1b74,MOAD,TRAIN
PDB_1b8n,PDBBind,TRAIN
PDB_1b8o,PDBBind,TRAIN
PDB_1b8y,PDBBind,TEST
PDB_1bcd,PDBBind,TRAIN
PDB_1bcj,MOAD,TRAIN
PDB_1bcu,PDBBind,TRAIN
PDB_1bdq,PDBBind,VAL
PDB_1bgq,PDBBind,TRAIN
PDB_1bhx,PDBBind,TRAIN
PDB_1bju,PDBBind,TRAIN
PDB_1bjv,PDBBind,TRAIN
PDB_1bkj,MOAD,TRAIN
PDB_1bm7,PDBBind,TRAIN
PDB_1bma,PDBBind,TRAIN
PDB_1bn1,PDBBind,TRAIN
PDB_1bn3,PDBBind,TRAIN
PDB_1bn4,PDBBind,TRAIN
PDB_1bnn,PDBBind,TRAIN
PDB_1bnq,PDBBind,TRAIN
PDB_1bnt,PDBBind,TRAIN
PDB_1bnu,PDBBind,TRAIN
PDB_1bnv,PDBBind,TRAIN
PDB_1bnw,PDBBind,TRAIN
PDB_1bp0,PDBBind,VAL
PDB_1bq4,PDBBind,TRAIN
PDB_1br6,Iridium,TRAIN
PDB_1btn,MOAD,TRAIN
PDB_1bty,PDBBind,TRAIN
PDB_1bxo,PDBBind,TRAIN
PDB_1bxr,PDBBind,TRAIN
PDB_1bzc,PDBBind,TRAIN
PDB_1bzj,PDBBind,TRAIN
PDB_1bzy,PDBBind,TRAIN
PDB_1c1r,PDBBind,TRAIN
PDB_1c1u,PDBBind,TRAIN
PDB_1c1v,PDBBind,TRAIN
PDB_1c3x,PDBBind,TRAIN
PDB_1c4u,PDBBind,TRAIN
PDB_1c5c,PDBBind,TRAIN
PDB_1c5n,PDBBind,TRAIN
PDB_1c5o,PDBBind,TRAIN
PDB_1c5p,PDBBind,TRAIN
PDB_1c5q,PDBBind,TRAIN
PDB_1c5s,PDBBind,TRAIN
PDB_1c5t,PDBBind,TRAIN
PDB_1c5x,PDBBind,TRAIN
PDB_1c5y,PDBBind,TRAIN
PDB_1c70,PDBBind,TEST
PDB_1c83,PDBBind,TRAIN
PDB_1c84,PDBBind,TRAIN
PDB_1c86,PDBBind,VAL
PDB_1c87,PDBBind,TRAIN
PDB_1c88,PDBBind,TRAIN
PDB_1cbx,PDBBind,TRAIN
PDB_1ccw,MOAD,TEST
PDB_1ceb,PDBBind,TEST
PDB_1cet,PDBBind,TRAIN
PDB_1cfv,MOAD,TRAIN
PDB_1cgl,PDBBind,TRAIN
PDB_1chm,MOAD,TRAIN
PDB_1ciz,PDBBind,TRAIN
PDB_1cnw,PDBBind,TRAIN
PDB_1cnx,PDBBind,TRAIN
PDB_1cny,PDBBind,VAL
PDB_1cps,PDBBind,VAL
PDB_1cs4,MOAD,TRAIN
PDB_1ct8,MOAD,TRAIN
PDB_1ctt,PDBBind,TEST
PDB_1ctu,PDBBind,TRAIN
PDB_1cx9,MOAD,TRAIN
PDB_1czr,MOAD,TRAIN
PDB_1d09,PDBBind,TRAIN
PDB_1d2e,PDBBind,TRAIN
PDB_1d3d,PDBBind,TRAIN
PDB_1d4h,PDBBind,TRAIN
PDB_1d4i,PDBBind,TEST
PDB_1d4l,PDBBind,TRAIN
PDB_1d4p,PDBBind,TRAIN
PDB_1d4y,PDBBind,TRAIN
PDB_1d6v,PDBBind,TRAIN
PDB_1d6w,PDBBind,TRAIN
PDB_1d7i,PDBBind,TRAIN
PDB_1d7j,PDBBind,TRAIN
PDB_1d9i,PDBBind,TRAIN
PDB_1dar,PDBBind,TRAIN
PDB_1db1,MOAD,TEST
PDB_1dbt,MOAD,TRAIN
PDB_1det,PDBBind,TRAIN
PDB_1df8,PDBBind,TRAIN
PDB_1dgm,PDBBind,TEST
PDB_1dhi,PDBBind,TRAIN
PDB_1dhj,PDBBind,TRAIN
PDB_1djx,MOAD,VAL
PDB_1dl7,PDBBind,VAL
PDB_1dmp,PDBBind,TRAIN
PDB_1dqn,PDBBind,TRAIN
PDB_1dqx,MOAD,TRAIN
PDB_1drj,PDBBind,TEST
PDB_1drk,PDBBind,VAL
PDB_1drv,PDBBind,TRAIN
PDB_1dud,PDBBind,TRAIN
PDB_1duv,PDBBind,TRAIN
PDB_1dy4,PDBBind,TEST
PDB_1dzk,PDBBind,TRAIN
PDB_1e1v,PDBBind,TRAIN
PDB_1e1x,PDBBind,TEST
PDB_1e2k,PDBBind,TRAIN
PDB_1e2l,PDBBind,TRAIN
PDB_1e3g,PDBBind,TRAIN
PDB_1e3v,PDBBind,TRAIN
PDB_1e4h,PDBBind,VAL
PDB_1e66,PDBBind,TRAIN
PDB_1e6s,PDBBind,TRAIN
PDB_1e96,MOAD,TRAIN
PDB_1eb2,PDBBind,TRAIN
PDB_1ebg,MOAD,TEST
PDB_1eby,PDBBind,TRAIN
PDB_1ebz,PDBBind,TRAIN
PDB_1ec9,PDBBind,TRAIN
PDB_1ecm,MOAD,TRAIN
PDB_1ecq,PDBBind,TRAIN
PDB_1ecv,PDBBind,TRAIN
PDB_1efy,PDBBind,VAL
PDB_1egh,PDBBind,TRAIN
PDB_1eix,MOAD,TRAIN
PDB_1ejn,PDBBind,TRAIN
PDB_1ela,PDBBind,TRAIN
PDB_1elb,PDBBind,TRAIN
PDB_1elc,PDBBind,TEST
PDB_1eld,PDBBind,TRAIN
PDB_1ele,PDBBind,TRAIN
PDB_1eli,MOAD,TRAIN
PDB_1em6,MOAD,VAL
PDB_1enu,PDBBind,TRAIN
PDB_1eoc,Iridium,TRAIN
PDB_1epo,PDBBind,TRAIN
PDB_1erb,PDBBind,TRAIN
PDB_1ew8,PDBBind,TRAIN
PDB_1ew9,PDBBind,TRAIN
PDB_1ezq,Iridium,TEST
PDB_1f06,MOAD,TRAIN
PDB_1f0r,PDBBind,TRAIN
PDB_1f0s,Iridium,TRAIN
PDB_1f0t,PDBBind,TRAIN
PDB_1f0u,PDBBind,TRAIN
PDB_1f28,MOAD,TRAIN
PDB_1f3e,PDBBind,TRAIN
PDB_1f3f,MOAD,TEST
PDB_1f4e,PDBBind,TRAIN
PDB_1f4f,PDBBind,TRAIN
PDB_1f4g,PDBBind,TRAIN
PDB_1f4x,PDBBind,TRAIN
PDB_1f57,PDBBind,TRAIN
PDB_1f5k,PDBBind,TRAIN
PDB_1f5l,PDBBind,TEST
PDB_1f73,PDBBind,TRAIN
PDB_1f74,PDBBind,VAL
PDB_1f7k,MOAD,TEST
PDB_1f8b,PDBBind,TRAIN
PDB_1f8c,PDBBind,TRAIN
PDB_1f8d,PDBBind,TRAIN
PDB_1f8e,PDBBind,TRAIN
PDB_1fao,PDBBind,TRAIN
PDB_1fby,MOAD,TRAIN
PDB_1fcx,PDBBind,TRAIN
PDB_1fcy,PDBBind,TRAIN
PDB_1fcz,PDBBind,VAL
PDB_1fd0,PDBBind,TRAIN
PDB_1fdq,MOAD,TRAIN
PDB_1fh7,PDBBind,TRAIN
PDB_1fh8,Iridium,TEST
PDB_1fh9,Iridium,TRAIN
PDB_1fhd,Iridium,TRAIN
PDB_1fhw,MOAD,TRAIN
PDB_1fhx,MOAD,TRAIN
PDB_1fjs,Iridium,VAL
PDB_1fkg,PDBBind,VAL
PDB_1fkh,PDBBind,TRAIN
PDB_1fki,PDBBind,VAL
PDB_1fkw,PDBBind,TRAIN
PDB_1fl3,Iridium,TRAIN
PDB_1flm,MOAD,TRAIN
PDB_1flr,PDBBind,TRAIN
PDB_1fm9,Iridium,TRAIN
PDB_1fo3,MOAD,TRAIN
PDB_1fpc,PDBBind,TEST
PDB_1frb,MOAD,TRAIN
PDB_1ft7,PDBBind,TRAIN
PDB_1ftm,PDBBind,TRAIN
PDB_1fv0,PDBBind,VAL
PDB_1fvt,Iridium,TRAIN
PDB_1fzq,PDBBind,TRAIN
PDB_1g1d,PDBBind,TRAIN
PDB_1g27,MOAD,TRAIN
PDB_1g2k,PDBBind,TRAIN
PDB_1g2l,PDBBind,TRAIN
PDB_1g2o,PDBBind,TRAIN
PDB_1g30,PDBBind,TRAIN
PDB_1g32,PDBBind,TRAIN
PDB_1g35,PDBBind,TRAIN
PDB_1g36,PDBBind,TRAIN
PDB_1g3d,PDBBind,TRAIN
PDB_1g3e,PDBBind,TRAIN
PDB_1g3m,MOAD,TRAIN
PDB_1g45,PDBBind,TRAIN
PDB_1g46,PDBBind,TRAIN
PDB_1g48,PDBBind,TRAIN
PDB_1g4o,PDBBind,TRAIN
PDB_1g52,PDBBind,TRAIN
PDB_1g53,PDBBind,TRAIN
PDB_1g54,PDBBind,VAL
PDB_1g74,PDBBind,TRAIN
PDB_1g7f,PDBBind,TRAIN
PDB_1g7g,PDBBind,TRAIN
PDB_1g7v,PDBBind,TEST
PDB_1g85,PDBBind,TRAIN
PDB_1g98,PDBBind,VAL
PDB_1ga8,MOAD,TRAIN
PDB_1gaf,PDBBind,TRAIN
PDB_1gfy,PDBBind,TRAIN
PDB_1ghv,PDBBind,TRAIN
PDB_1ghw,PDBBind,TRAIN
PDB_1ghy,PDBBind,VAL
PDB_1ghz,PDBBind,TRAIN
PDB_1gi1,PDBBind,TRAIN
PDB_1gi4,PDBBind,VAL
PDB_1gi7,PDBBind,TRAIN
PDB_1gj6,PDBBind,TEST
PDB_1gjc,PDBBind,TRAIN
PDB_1gnm,PDBBind,TRAIN
PDB_1gnn,PDBBind,TRAIN
PDB_1gno,PDBBind,VAL
PDB_1gny,MOAD,TRAIN
PDB_1gpk,PDBBind,TRAIN
PDB_1gpn,PDBBind,TEST
PDB_1gro,MOAD,TRAIN
PDB_1grp,PDBBind,TRAIN
PDB_1gt4,MOAD,TRAIN
PDB_1gua,MOAD,TEST
PDB_1gwv,PDBBind,TRAIN
PDB_1gx8,PDBBind,TRAIN
PDB_1gym,MOAD,TRAIN
PDB_1gyx,PDBBind,TRAIN
PDB_1gyy,PDBBind,TEST
PDB_1gzf,MOAD,TRAIN
PDB_1h0a,PDBBind,TRAIN
PDB_1h1h,MOAD,TRAIN
PDB_1h1p,Iridium,TRAIN
PDB_1h1s,Iridium,TRAIN
PDB_1h22,PDBBind,VAL
PDB_1h23,PDBBind,TRAIN
PDB_1h2k,PDBBind,TRAIN
PDB_1h46,PDBBind,TRAIN
PDB_1h4w,PDBBind,TRAIN
PDB_1h6h,PDBBind,TRAIN
PDB_1hbv,PDBBind,TRAIN
PDB_1hdc,MOAD,TRAIN
PDB_1hdq,PDBBind,TRAIN
PDB_1hdr,MOAD,TRAIN
PDB_1hee,PDBBind,TRAIN
PDB_1hgi,Iridium,TRAIN
PDB_1hgj,Iridium,TRAIN
PDB_1hi3,PDBBind,TRAIN
