PDBCode,DatabaseSmile,RDKitCanonSmile
1bnn,COc1cccc(c1)N1CCc2c(S1(=O)=O)sc(c2)S(=O)(=O)N,COc1cccc(N2CCc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1
4q19,CCCc1sc(nc1CSc1nc(N)cc(n1)N)c1ccc(c(c1)O)OC,CCCc1sc(-c2ccc(OC)c(O)c2)nc1CSc1nc(N)cc(N)n1
3mhm,O=N(=O)c1c(NCc2ccc(cc2)S(=O)(=O)N)ncnc1NCc1ccccc1,NS(=O)(=O)c1ccc(CNc2ncnc(NCc3ccccc3)c2[N+](=O)[O-])cc1
1qbv,[NH3+][C@@H](C(=O)N1CCC[C@H]1C(=O)NCCNc1ccncc1)Cc1ccccc1,[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCCNc1ccncc1
1zog,CSc1[nH]c2c(n1)c(Br)c(c(c2Br)Br)Br,CSc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1
4hw3,OC(=O)c1sc2c(c1CCCOc1cc(C)c(c(c1)C)Cl)cccc2,Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl
3rsx,Nc1ccc2c(n1)ccc(c2)c1cscc1,Nc1ccc2cc(-c3ccsc3)ccc2n1
4xu0,O=C(NS(=O)(=O)OC[C@H]1O[C@H]([C@]([C@@H]1O)(C)O)n1cnc2c1ncnc2N)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2,C[C@@]1(O)[C@H](O)[C@@H](COS(=O)(=O)NC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)O[C@H]1n1cnc2c(N)ncnc21
186l,CCCCc1ccccc1,CCCCc1ccccc1
4e0x,OC(=O)C[C@H]1[C@H](C[NH2+][C@@H]1C(=O)O)C(=C)C,C=C(C)[C@H]1C[NH2+][C@H](C(=O)O)[C@H]1CC(=O)O
2p3i,OC[C@H]([C@H]([C@@H]1O[C@](OC)(C[C@@H]([C@H]1NC(=O)C)O)C(=O)O)O)O,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O1
5bx3,C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O
4w6z,C(C(F)(F)F)O,OCC(F)(F)F
4rvr,CCCOc1ccn2c(c1)c(cc2C(=O)C)c1ccccc1S(=O)(=O)C,CCCOc1ccn2c(C(C)=O)cc(-c3ccccc3S(C)(=O)=O)c2c1
5f2r,O[C@@H]1[C@@H](COP(OP(CP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)C[PH](O)(O)O)[C@@H](O)[C@H]1O
4eo6,C[C@@H]1CC[C@H](CC1)C(=O)N(c1cc(sc1C(=O)O)C#CC(C)(C)C)C(C)C,CC(C)N(c1cc(C#CC(C)(C)C)sc1C(=O)O)C(=O)[C@H]1CC[C@H](C)CC1
3ckz,OC[C@H]([C@H]([C@@H]1OC(=C[C@@H]([C@H]1NC(=O)C)[NH+]=C(N)N)C(=O)O)O)O,CC(=O)N[C@@H]1[C@@H]([NH+]=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
3o8p,O=C(Nc1cc(nn1C)C(C)(C)C)Nc1ccc(cc1)Cl,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1
3gm0,C[NH2+][C@H](Cc1ccc2c(c1)OCO2)C,C[NH2+][C@@H](C)Cc1ccc2c(c1)OCO2
3p2e,OC(=O)[C@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+],Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)O)[C@@H](O)[C@H]1O
2w67,CC(=O)N[C@H]1C[NH2+]C[C@H]([C@H]([C@@H]1O)O)O,CC(=O)N[C@H]1C[NH2+]C[C@@H](O)[C@@H](O)[C@@H]1O
2cli,OP(OCCNS(=O)(=O)c1ccc(cc1)OC(F)(F)F)(O)O,O=S(=O)(NCCO[PH](O)(O)O)c1ccc(OC(F)(F)F)cc1
5dx4,COc1ccc(cc1S(=O)(=O)Nc1ccc2c3c1cccc3c(=O)n2CC)Br,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4cc(Br)ccc4OC)ccc1c23
6ej2,CO[C@H]1CC[C@]2(C[C@@H]1C)Cc1c([C@]32COC(=[NH+]3)N)cc(cc1)c1cncnc1,CO[C@H]1CC[C@@]2(Cc3ccc(-c4cncnc4)cc3[C@@]23COC(N)=[NH+]3)C[C@@H]1C
