PDBCode,RDKitCanonSmile
1f57,[H]SCC(C(=O)O)[N+]([H])([H])[H]
5ndf,[H]Oc1cc(O[H])c2c(=O)cc(-c3ccc(O[H])c(O[H])c3)oc2c1
2vvs,[H]OCC1OC(N([H])OC(=O)N([H])c2ccccc2)C(N([H])C(C)=O)C(O[H])C1O[H]
5om3,[H]OC1=C2C(=O)c3c(O[H])cccc3C(C)C2C(O[H])C2C([N+]([H])(C)C)C(O[H])C(C(=O)N([H])[H])C(=O)C12O[H]
2zmm,[H]N(C)C(=O)N(c1cccc(-c2sc(C(=O)O)c(OCC(=O)O)c2Br)c1)C1CCCCC1
3a5y,[H]OC1C(COS(O)(O)N([H])C(=O)C(CCCC[N+]([H])([H])[H])[N+]([H])([H])[H])OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
1eb2,[H]N([H])C(c1cccc(C(=O)N([H])C(C(=O)N2CCC(C(=O)c3ccccc3)CC2)c2ccccc2)c1)=[N+]([H])[H]
3a8t,[H]OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
5kxe,[H]OCC1OC(OC2C(CO[H])OC(Oc3ccc([N+](=O)[O-])cc3)C(N([H])C(C)=O)C2O[H])C(N([H])C(C)=O)C(O[H])C1O[H]
1mu6,[H]N(CC1C(F)=CC=CN1[H])C(=O)CN1C(=O)C(N([H])CC(F)(F)C2C=CC=CN2[H])N([H])C=C1C
1tow,O=C(O)CCCn1c2ccccc2c2ccccc21
6guc,[H]N1C=C(C=C2C(=O)N([H])c3ccc(OC)cc32)N([H])C1
3sut,[H]OCC1OC([N+]([H])([H])OC(=O)N([H])c2ccccc2)C(N([H])C(C)=O)C(O[H])C1O[H]
5mnn,[H]N([H])C(N1CCCCC1)=[N+]([H])[H]
1z6e,[H]N([H])C1=C2CC(N3C(C(=O)N([H])c4ccc(N5C=CN([H])C5C[N+]([H])(C)C)cc4F)=CC(C(F)(F)F)N3[H])=CC=C2ON1[H]
4avi,[H]OCC1OC(OCCCCCCCCC(=O)OC)C(O[H])C(O[H])C1O[H]
4e4l,[H]N1CN(C2(C)CCN(S(C)(=O)=O)CC2)C2=C3C=CN([H])C3N([H])C=C21
6ayq,[H]OC1C[N+]([H])(Cc2cn([H])c3c2N([H])CN([H])C3N([H])[H])CC1CSC
1if8,[H]N(CC(C)Cn1ccc2ccccc21)C(=O)c1ccc(S(=O)(=O)N([H])[H])cc1
1qbv,[H]N1C=CC(N([H])CCN([H])C(=O)C2CCCN2C(=O)C(Cc2ccccc2)[N+]([H])([H])[H])=CC1
1cx9,Nc1ccccc1SCCCCP(=O)(O)O
6ex1,[H]N([H])S(=O)(=O)c1ccc(C(=O)N2CC[N+]([H])([H])C(Cc3ccccc3)C2)cc1
3hok,[H]N1C=CN(CC2(CCc3ccc(Cl)cc3)OCC(CSC3C=CC(C(F)(F)F)=CN3[H])O2)C1
