Ligand,SMILE,PDBCode
10gs_decoy_1,CC[C@@H](C)[NH2+]C[C@@H]1OC(=O)Cc2ccncc2C[NH2+]C[C@H](O)CNc2cc3c(cc21)OCO3,10gs
10gs_decoy_10,CCNC=[NH+]c1cccc(CN2CC[NH2+]C[C@@H]2c2ccc3cc4c(cc3n2)CCOC4)n1,10gs
10gs_decoy_2,C[C@@H](CC(=O)O)O[C@H]1CCC[NH2+]C[C@@H]1[N@H+](Cc1noc2cc(O)ccc12)[C@@H]1CCC[C@@H](N)C1,10gs
10gs_decoy_3,C[C@H]1[NH2+]C[C@@]2(CC[C@H](NC(=O)C3=C[C@H](O)CO3)C2)N[C@@H]1C(=O)N1CCCc2ccccc21,10gs
10gs_decoy_4,Cc1cc(C(=O)O[C@H]2CN(C(=O)[C@@H]3CCC[C@@H]([NH3+])C3)[C@@H](C)C(=O)NC2=O)c2ccccc2[nH+]1,10gs
10gs_decoy_5,Cc1cc(OC(=O)N2C[C@H](O)[C@@H]([NH2+]C[C@@H]3NCC(=O)N3)C2)c2ccc3c(c2c1)CCCCO3,10gs
10gs_decoy_6,Cc1cccc(C=CC(C[NH+]2CCCC2)=C2NC(N3CCC[C@@H](N(C)C)CC3)=NC2=O)[nH+]1,10gs
10gs_decoy_7,C=NN(C=O)[C@H]1CC[N@H+](Cc2cc(C3=CC(C)=NC3)c3nc(C)c4c(c3c2)C[NH2+]C4)CC1,10gs
10gs_decoy_8,CC1=CCC=C1C[NH2+]C[C@@H]1CN(Cc2cccnc2)Cc2c(N3CCOCC3)nc[nH+]c21,10gs
10gs_decoy_9,Cc1cc(C)c(-c2nc(CCC[N@@H+]3CCc4nc(C5=CCC=C5)[nH+]cc4C3)no2)c(C)n1,10gs
184l_decoy_1,O=Cc1c[nH]c(=O)cn1,184l
184l_decoy_10,Cc1[nH]c(C(=O)OCC(N)=O)c(C)c1Cc1ccc(F)s1,184l
184l_decoy_2,Cc1[nH]ncc1C(=O)O,184l
184l_decoy_3,CC(=O)Oc1ncc[nH]1,184l
184l_decoy_4,CC(=O)Oc1cc[nH]n1,184l
184l_decoy_5,COc1cc(N)cc(C=c2sc(=CC(F)F)[nH]c2=O)c1OC,184l
184l_decoy_6,Cc1cc(N)c(C=CC(=O)NCC(F)F)c2c1CCS2(=O)=O,184l
184l_decoy_7,CC(=C(F)F)c1c(N)sc2c(C)c(C(=O)OCCO)cnc12,184l
184l_decoy_8,Nc1cc(O)c(OCC(=O)Nc2cc(F)cc(S)c2)c(F)c1,184l
184l_decoy_9,Cc1c[nH]c(C(=O)Nc2cc([SH](=O)=O)cc(F)c2C)c1C,184l
185l_decoy_1,C#CCNC(=O)N(CCC(=O)Nc1sc(C)c2c1CCC2)C(C)(C)C(=O)OC,185l
185l_decoy_10,C=CN(C)C1=CC=C(NC(=O)NC(=O)CC(C)(C)C)C=CC(=O)N1,185l
185l_decoy_2,CCOc1ccc(OC)cc1NC(=O)c1c(C)[nH]c(=S)n(CCC(C)C)c1=O,185l
185l_decoy_3,COc1cc(NS(=O)(=O)C2=CCC=C2C)cc(OCCC2=NCCCN2C)c1,185l
185l_decoy_4,C=C1C=C(CN2CCN(C(=O)NCCC)C[C@@H]2C(O)=CO)C=NC1,185l
185l_decoy_5,COCC1=CC=CCN(C2CCC2)C(=O)N=CC(C(C)=O)=C(N)N1,185l
185l_decoy_6,C=CC1=COC(=O)[C@H]1C(C#N)=CNC(=O)Nc1ccc(NC)cc1,185l
185l_decoy_7,CC=C1CC=CC=C1CNC(=O)NC(=O)NCC(=O)N1CCCC1,185l
185l_decoy_8,COC(=O)C(C)=CNC(=O)C=C(C)NC1=NN=C(C2=CCCC2)C1,185l
185l_decoy_9,CC=CN1NC(C)=C(c2cc(C(=O)NC)[nH]c(=O)c2)C1=CC(C)=O,185l
186l_decoy_1,CCCCC1(C)CCCC1,186l
186l_decoy_10,CCC=C(CC)CCCC,186l
186l_decoy_2,C=C(CC)CC1CCC1,186l
186l_decoy_3,C=C(C)CCC1CCCC1,186l
186l_decoy_4,CCCC1(C)CCCCC1,186l
186l_decoy_5,CC=C(C)CC1CCCC1,186l
186l_decoy_6,CCCC=C(CC)CCC,186l
186l_decoy_7,CC(C)CC1(C)CCCC1,186l
186l_decoy_8,C=C(C)CCCC(C)(C)C,186l
186l_decoy_9,CC(C)(C)CCCC1CC1,186l
187l_decoy_1,COC(OC)OC(=O)C1=N[N+](=C(N)O)[C@H](Cl)ON1Br,187l
187l_decoy_10,COC(=O)COC1=CC=C(CNC(=O)Nc2ncc(OC)c(Cl)n2)CO1,187l
187l_decoy_2,CC(S)=[NH+]c1on2c1[C@@](Cl)(Br)C(=O)N2CCOO,187l
187l_decoy_3,C[C@](NC=O)([C@H](Br)SO)[C@H](O)[N@+]1(Cl)CCCC1=O,187l
187l_decoy_4,C=C(O)COC1=C=[N+](OC)CN(OO)N=C1C(=O)Cl,187l
187l_decoy_5,CN(CC(=O)CO)N(Br)OC(COCl)=NC([NH3+])=O,187l
187l_decoy_6,C=[N+]=COC=C(O)C(=CC(=[SH]N=O)C(C)=O)OBr,187l
187l_decoy_7,CC=C(NC(=O)c1cnc(OCC(=O)OC)n1C1=NC(=O)CS1)C(O)=CCl,187l
187l_decoy_8,COC(=O)N(C)C(=O)CSCc1cc(=O)[nH]c(NC(=O)c2occc2Cl)n1,187l
187l_decoy_9,CNC(=O)Nc1oc(C(OC)=C2SC(=O)N(CN(C)CC=O)C2=O)cc1Cl,187l
188l_decoy_1,CCC1(C)CCCC1,188l
188l_decoy_10,CCC1CCCCC1,188l
188l_decoy_2,C=C(C)C(C)(C)C,188l
188l_decoy_3,CC1(C)CCCCC1,188l
188l_decoy_4,CC1(C)CCCC1,188l
188l_decoy_5,C=CCCCC1CC1,188l
188l_decoy_6,CCCC1(C)CCC1,188l
188l_decoy_7,CCCC1CCCC1,188l
188l_decoy_8,CCCC(C)(C)CC,188l
188l_decoy_9,C=C(C)CCCC,188l
1a0q_decoy_1,CCc1c(-c2ccc(P(C)c3ccc(C)cc3)cc2)ccc(C)c1C,1a0q
1a0q_decoy_10,Cc1c(-c2ccccc2)cc2c(c1C)CP(c1ccccc1)CC2,1a0q
1a0q_decoy_2,CC1=C(C(C)C)Cc2ccc(C)cc2C1=Cc1ccc(P(C)C)cc1,1a0q
1a0q_decoy_3,CPc1ccc(-c2ccc(C)cc2-c2ccc(C)c(C3CC3)c2)cc1,1a0q
1a0q_decoy_4,C=C1C=C(c2ccc(P(C)c3ccc(C)cc3)cc2)C(=CCC)CC1,1a0q
1a0q_decoy_5,Cc1ccc(P(C)CC[C@@]2(C)CCCc3ccc(C)c(C)c32)cc1,1a0q
1a0q_decoy_6,Cc1ccc(-c2ccc(P(C)C)cc2)c2c1CCC1(CCCCC1)C2,1a0q
1a0q_decoy_7,CCCP(C)c1ccc(C2=Cc3ccc(C)cc3CCC2(C)C)cc1,1a0q
1a0q_decoy_8,CCC=Cc1ccc2c(c1)[C@@H](c1cc(C)ccc1P(C)C)CC2(C)C,1a0q
1a0q_decoy_9,CC[C@]1(C)CCc2cc(C)ccc2C=C1c1ccc(P(C)C)cc1,1a0q
1a28_decoy_1,O=C1C[C@@H]2CCCC[C@@H]2C[C@H]1[C@@H]1CCC[C@@H](C2CCCC2)O1,1a28
1a28_decoy_10,O[C@H]1CC[C@@H](Cl)CC1,1a28
1a28_decoy_2,O[C@@H]1CC[C@@H]([C@H]2CC=CCC2)C[C@]12C[C@@H](C1CCCC1)CCO2,1a28
1a28_decoy_3,CC[C@@H]1C[C@H]([C@H]2C[C@H]3CCC[C@@H]3[C@H]2OC)C[C@@]2(CCCCO2)C1,1a28
1a28_decoy_4,CC1(C)C[C@@H]2CCC[C@H]2[C@@H](C(=O)[C@H]2CCOC3(CCCC3)C2)C1,1a28
1a28_decoy_5,C=C1CO[C@]2([C@]3(C)CC[C@@H](OC4CCCC4)C3)CCCCC=C12,1a28
1a28_decoy_6,O[C@H]1CCC[C@@H]2CO[C@@](CC3CCCC3)([C@@H]3CC=CCC3)C[C@H]12,1a28
